ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,option_type,perc_change,strike,volume
2.46,2.50,2.54,MSFT210115P00140000,"January 15, 2021","18,358",2020-08-07 3:34PM EDT,2,put,+0.30,140.00,+13.64%
2.99,3.00,3.10,MSFT210115P00145000,"January 15, 2021","11,000",2020-08-10 9:57AM EDT,73,put,+0.25,145.00,+9.09%
0.26,0.32,0.40,MSFT210319P00080000,"March 19, 2021",185,2020-08-07 11:12AM EDT,2,put,0.00,80.00,-
0.35,0.30,0.49,MSFT210319P00085000,"March 19, 2021",338,2020-08-03 1:45PM EDT,1,put,0.00,85.00,-
0.45,0.47,0.60,MSFT210319P00090000,"March 19, 2021",417,2020-07-13 10:28AM EDT,1,put,0.00,90.00,-
0.60,0.46,0.72,MSFT210319P00095000,"March 19, 2021",287,2020-08-04 9:52AM EDT,1,put,0.00,95.00,-
0.73,0.63,0.89,MSFT210319P00100000,"March 19, 2021",512,2020-07-31 10:43AM EDT,5,put,0.00,100.00,-
0.92,0.87,1.08,MSFT210319P00105000,"March 19, 2021",919,2020-08-07 2:08PM EDT,5,put,0.00,105.00,-
1.12,1.00,1.31,MSFT210319P00110000,"March 19, 2021",495,2020-08-06 3:00PM EDT,1,put,0.00,110.00,-
1.40,1.45,1.57,MSFT210319P00115000,"March 19, 2021","1,082",2020-08-05 9:58AM EDT,10,put,+0.40,115.00,+38.10%
1.71,1.75,1.93,MSFT210319P00120000,"March 19, 2021",922,2020-08-06 2:08PM EDT,10,put,+0.30,120.00,+20.69%
0.57,0.53,0.75,MSFT201218P00115000,"December 18, 2020",362,2020-08-06 3:38PM EDT,3,put,0.00,115.00,-
0.72,0.69,0.89,MSFT201218P00120000,"December 18, 2020","1,943",2020-08-06 12:18PM EDT,2,put,0.00,120.00,-
0.94,0.80,1.09,MSFT201218P00125000,"December 18, 2020",991,2020-08-06 3:32PM EDT,1,put,0.00,125.00,-
1.16,1.11,1.30,MSFT201218P00130000,"December 18, 2020","3,269",2020-08-07 3:45PM EDT,2,put,0.00,130.00,-
1.49,1.55,1.67,MSFT201218P00135000,"December 18, 2020","1,190",2020-08-10 11:27AM EDT,10,put,+0.20,135.00,+14.81%
1.85,1.91,2.00,MSFT201218P00140000,"December 18, 2020","2,670",2020-08-10 10:46AM EDT,7,put,+0.20,140.00,+11.70%
2.29,2.34,2.41,MSFT201218P00145000,"December 18, 2020","2,666",2020-08-10 10:46AM EDT,78,put,+0.22,145.00,+10.38%
35.65,34.59,36.10,MSFT201016P00240000,"October 16, 2020",9,2020-08-10 9:59AM EDT,1,put,+3.88,240.00,+12.63%
44.35,43.47,45.15,MSFT201016P00250000,"October 16, 2020",69,2020-08-07 1:08PM EDT,1,put,+2.96,250.00,+7.31%
53.70,56.00,54.55,MSFT201016P00260000,"October 16, 2020",4,2020-07-14 1:05PM EDT,2,put,0.00,260.00,-
13.20,13.30,13.35,MSFT200918C00200000,"September 18, 2020","15,755",2020-08-10 11:46AM EDT,"1,502",call,-3.55,200.00,-21.07%
10.30,10.30,10.40,MSFT200918C00205000,"September 18, 2020","6,925",2020-08-10 11:45AM EDT,785,call,-3.34,205.00,-24.49%
7.80,7.90,7.85,MSFT200918C00210000,"September 18, 2020","12,466",2020-08-10 11:46AM EDT,"2,032",call,-2.95,210.00,-27.19%
5.80,5.84,5.85,MSFT200918C00215000,"September 18, 2020","11,525",2020-08-10 11:46AM EDT,"2,016",call,-2.46,215.00,-29.64%
4.20,4.20,4.25,MSFT200918C00220000,"September 18, 2020","40,163",2020-08-10 11:44AM EDT,"4,958",call,-2.05,220.00,-32.80%
3.00,3.01,3.10,MSFT200918C00225000,"September 18, 2020","12,688",2020-08-10 11:47AM EDT,840,call,-1.64,225.00,-35.27%
2.15,2.18,2.17,MSFT200918C00230000,"September 18, 2020","38,192",2020-08-10 11:43AM EDT,"2,054",call,-1.22,230.00,-35.88%
1.55,1.57,1.57,MSFT200918C00235000,"September 18, 2020","6,037",2020-08-10 11:42AM EDT,861,call,-0.91,235.00,-36.69%
30.20,35.34,31.15,MSFT200911C00177500,"September 11, 2020",1,2020-08-04 10:48AM EDT,3,call,0.00,177.50,-
27.95,30.75,28.85,MSFT200911C00180000,"September 11, 2020",8,2020-08-07 3:51PM EDT,2,call,-2.45,180.00,-7.38%
25.85,28.10,26.20,MSFT200911C00182500,"September 11, 2020",3,2020-08-10 9:48AM EDT,2,call,-1.80,182.50,-6.02%
23.80,30.00,24.55,MSFT200911C00185000,"September 11, 2020",9,2020-08-07 11:53AM EDT,4,call,0.00,185.00,-
21.05,25.35,22.35,MSFT200911C00187500,"September 11, 2020",1,2020-08-04 2:42PM EDT,1,call,0.00,187.50,-
19.25,19.95,19.85,MSFT200911C00190000,"September 11, 2020",22,2020-08-07 3:50PM EDT,2,call,-4.33,190.00,-17.83%
17.20,19.00,17.85,MSFT200911C00192500,"September 11, 2020",16,2020-08-10 9:34AM EDT,3,call,-3.13,192.50,-14.14%
15.25,18.77,16.05,MSFT200911C00195000,"September 11, 2020",23,2020-08-07 1:18PM EDT,15,call,0.00,195.00,-
